#  Rho [g/cm^3]    P [erg/cm^3=dyn/cm^2]
#
   3.4951000e+11   6.2150000e+29
   3.6883000e+11   6.4304000e+29
   3.8650000e+11   6.5813000e+29
   4.4199000e+11   6.9945000e+29
   5.1080000e+11   7.4685000e+29
   5.9119000e+11   8.0149000e+29
   6.8224000e+11   8.6443000e+29
   7.8339000e+11   9.3667000e+29
   8.9426000e+11   1.0191000e+30
   1.0146000e+12   1.1128000e+30
   1.2831000e+12   1.3370000e+30
   1.7543000e+12   1.7792000e+30
   2.1141000e+12   2.1547000e+30
   2.7232000e+12   2.8565000e+30
   3.4178000e+12   3.7461000e+30
   4.4827000e+12   5.2679000e+30
   5.7153000e+12   7.2304000e+30
   7.5106000e+12   1.0405000e+31
   9.6148000e+12   1.4513000e+31
   1.2593000e+13   2.0894000e+31
   1.6774000e+13   3.0720000e+31
   2.1042000e+13   4.1574000e+31
   2.7844000e+13   6.0234000e+31
   3.6043000e+13   8.4613000e+31
   4.0688000e+13   9.9286000e+31
   4.7001000e+13   1.2023000e+32
   5.3843000e+13   1.4430000e+32
   6.1153000e+13   1.7175000e+32
   6.7284000e+13   1.9626000e+32
   7.5224000e+13   2.3024000e+32
   8.1738000e+13   2.6018000e+32
   8.8350000e+13   2.9261000e+32
   9.5022000e+13   3.2756000e+32
   1.0173000e+14   3.6505000e+32
   1.0845000e+14   4.0509000e+32
   1.1351000e+14   4.3681000e+32
   1.1859000e+14   4.6998000e+32
   1.2372000e+14   5.0462000e+32
   1.2720000e+14   5.2856000e+32
   1.2845000e+14   5.3739000e+32
   1.3531000e+14   5.8260000e+32
   1.4381000e+14   6.6828000e+32
   1.5232000e+14   7.6443000e+32
   1.6935000e+14   9.9146000e+32
   1.8641000e+14   1.2701000e+33
   2.0350000e+14   1.6063000e+33
   2.2063000e+14   1.9971000e+33
   2.7223000e+14   3.5927000e+33
   3.2424000e+14   5.9667000e+33
   3.7675000e+14   9.2766000e+33
   4.2983000e+14   1.3668000e+34
   4.8358000e+14   1.9277000e+34
   5.3808000e+14   2.6235000e+34
   5.9340000e+14   3.4670000e+34
   6.4963000e+14   4.4702000e+34
   7.0684000e+14   5.6451000e+34
   7.6510000e+14   7.0033000e+34
   8.2450000e+14   8.5561000e+34
   8.8509000e+14   1.0315000e+35
   9.4695000e+14   1.2289000e+35
   1.0102000e+15   1.4491000e+35
   1.0748000e+15   1.6930000e+35
   1.1408000e+15   1.9616000e+35
   1.2085000e+15   2.2559000e+35
   1.2777000e+15   2.5769000e+35
   1.3486000e+15   2.9255000e+35
   1.4706000e+15   3.5702000e+35
   1.5977000e+15   4.2981000e+35
   1.7302000e+15   5.1129000e+35
   1.8683000e+15   6.0183000e+35
   2.0123000e+15   7.0176000e+35
   2.1624000e+15   8.1139000e+35
   2.4820000e+15   1.0609000e+36
   2.8289000e+15   1.3524000e+36
   3.2048000e+15   1.6876000e+36
   3.6113000e+15   2.0679000e+36
   4.0498000e+15   2.4947000e+36
